DFM,AL4_P,TM-score,TM-align,Z-score,AL0_P,QCS,Handed.,SS
0.04,98.2,0.937,0.939,8.25,95.5,97.37,0.96,0.675
0.03,98.33,0.693,0.693,6.1,90.0,89.5,0.94,0.466
0.01,97.01,0.928,0.928,9.94,94.61,98.29,0.97,0.738
0.18,90.6,0.778,0.798,8.06,71.79,85.45,0.91,0.531
0.08,88.04,0.903,0.909,13.4,75.0,98.07,0.94,0.682
0.98,23.26,0.389,0.418,1.38,11.52,59.79,0.7,0.171
0.13,84.78,0.859,0.86,11.53,60.22,93.31,0.93,0.538
0.41,75.21,0.665,0.675,5.45,59.83,71.46,0.84,0.376
0.24,89.14,0.868,0.868,9.66,84.62,93.35,0.91,0.406
0.04,75.0,0.573,0.573,2.88,60.0,86.37,0.93,0.517
0.04,80.0,0.597,0.603,3.21,65.0,88.06,0.93,0.539
1.0,47.01,0.421,0.47,2.64,24.79,47.65,0.68,0.138
1.04,41.76,0.4,0.397,2.33,35.88,46.61,0.83,0.52
1.14,41.76,0.392,0.389,2.65,35.88,43.23,0.87,0.456
0.47,30.91,0.301,0.39,-0.39,30.0,39.64,0.69,0.389
1.24,64.1,0.582,0.577,4.62,51.28,51.57,0.73,0.179
0.34,76.67,0.481,0.559,3.55,50.0,49.95,0.79,0.265
0.24,70.0,0.536,0.536,3.21,60.0,46.96,0.86,0.396
0.52,85.07,0.794,0.791,9.14,72.85,88.6,0.83,0.299
1.02,0.0,0.121,0.178,-2.35,0.0,8.79,0.6,0.073
0.52,0.9,0.447,0.445,1.54,0.0,59.01,0.71,0.282
0.03,79.04,0.813,0.815,7.21,76.05,96.14,0.95,0.658
0.05,96.83,0.968,0.968,10.91,95.93,98.79,0.97,0.752
0.07,86.74,0.896,0.903,12.98,74.78,97.58,0.94,0.677
0.04,98.2,0.934,0.938,8.25,95.5,97.42,0.96,0.686
1.02,36.47,0.328,0.328,1.54,30.59,36.97,0.63,0.497
0.07,86.96,0.895,0.901,12.9,74.35,98.12,0.94,0.682
1.1,25.29,0.256,0.253,-0.36,19.41,36.44,0.84,0.417
0.16,69.09,0.602,0.594,4.51,61.82,85.28,0.93,0.592
1.51,44.12,0.416,0.417,2.57,39.41,42.44,0.88,0.478
0.02,94.61,0.913,0.911,9.54,93.41,98.36,0.97,0.71
0.07,97.44,0.944,0.944,8.37,96.58,97.41,0.96,0.681
0.2,71.82,0.648,0.643,5.27,65.45,78.31,0.93,0.544
0.08,87.17,0.898,0.907,13.29,75.0,97.8,0.94,0.69
0.45,50.91,0.451,0.448,2.0,24.55,63.49,0.87,0.524
0.08,98.2,0.869,0.878,8.25,93.69,90.43,0.94,0.425
0.17,77.27,0.698,0.693,6.03,70.0,90.1,0.94,0.553
1.01,30.0,0.297,0.295,0.35,5.88,37.92,0.84,0.443
0.14,96.58,0.829,0.829,8.26,85.47,91.12,0.93,0.533
0.08,83.91,0.878,0.891,12.45,73.7,98.36,0.94,0.688
0.05,96.83,0.972,0.971,10.91,95.93,98.95,0.97,0.78
0.02,96.41,0.947,0.945,9.62,95.81,98.87,0.98,0.711
0.05,91.02,0.893,0.892,9.14,88.02,96.45,0.95,0.688
0.18,90.6,0.796,0.813,8.06,71.79,86.08,0.92,0.548
0.08,91.82,0.861,0.861,7.56,90.91,90.5,0.95,0.495
0.06,96.38,0.967,0.967,10.91,95.93,98.71,0.97,0.752
0.32,35.88,0.368,0.367,1.46,30.59,46.29,0.88,0.484
0.16,93.16,0.803,0.805,7.95,82.05,85.73,0.92,0.529
1.62,0.0,0.194,0.249,-1.42,0.0,28.38,0.57,0.1
0.32,35.88,0.368,0.367,1.46,30.59,46.29,0.88,0.484
0.08,91.82,0.87,0.871,7.45,90.0,96.2,0.97,0.701
0.06,97.29,0.968,0.968,10.91,95.48,98.1,0.97,0.561
0.18,90.6,0.788,0.806,7.95,71.79,85.98,0.92,0.538
0.05,96.38,0.967,0.967,10.91,95.93,98.78,0.97,0.759
0.08,87.39,0.901,0.909,13.17,75.43,97.29,0.94,0.685
0.05,96.83,0.969,0.968,10.91,95.93,98.76,0.97,0.759
0.08,86.09,0.889,0.898,12.75,74.13,97.86,0.94,0.686
0.05,97.01,0.914,0.915,9.86,91.62,95.55,0.96,0.687
0.06,95.73,0.953,0.953,8.16,94.02,97.89,0.97,0.701
0.11,94.87,0.898,0.906,8.06,88.89,92.29,0.95,0.615
