AL0_P,TM-score,TM-align,AL4_P,QCS,Z-score,Handed.,SS,DFM,GDT_TS
73.91,0.875,0.888,84.35,98.95,12.45,0.94,0.685,0.08,73.8
73.26,0.893,0.9,86.74,97.42,13.25,0.94,0.67,0.07,73.8
73.26,0.893,0.9,86.74,97.42,13.25,0.94,0.67,0.07,73.8
73.04,0.881,0.891,85.65,98.41,12.18,0.94,0.686,0.08,73.7
73.48,0.873,0.885,83.7,98.52,12.52,0.94,0.693,0.08,73.64
77.39,0.91,0.915,91.09,97.54,13.52,0.94,0.627,0.08,73.64
74.57,0.896,0.901,87.39,98.26,13.21,0.94,0.632,0.07,73.53
73.48,0.879,0.889,85.0,98.39,12.48,0.94,0.686,0.08,73.48
78.04,0.917,0.92,92.61,98.07,13.71,0.94,0.674,0.07,73.42
73.91,0.888,0.896,86.52,98.42,12.98,0.94,0.688,0.08,73.37
74.57,0.898,0.902,87.39,98.33,13.33,0.94,0.677,0.07,73.37
74.57,0.898,0.902,87.39,98.33,13.33,0.94,0.677,0.07,73.37
72.61,0.89,0.897,86.3,97.35,13.02,0.94,0.666,0.09,73.37
74.57,0.898,0.902,87.39,98.33,13.33,0.94,0.677,0.07,73.37
74.57,0.898,0.902,87.39,98.33,13.33,0.94,0.677,0.07,73.37
74.13,0.878,0.888,85.43,97.98,12.1,0.94,0.673,0.07,72.99
74.13,0.878,0.888,85.43,97.98,12.1,0.94,0.673,0.07,72.99
74.13,0.878,0.888,85.43,97.98,12.1,0.94,0.673,0.07,72.99
74.13,0.878,0.888,85.43,97.98,12.1,0.94,0.673,0.07,72.99
74.13,0.878,0.888,85.43,97.98,12.1,0.94,0.673,0.07,72.99
73.7,0.875,0.886,83.91,98.56,12.56,0.94,0.687,0.08,72.94
73.7,0.877,0.888,85.87,97.57,12.1,0.94,0.49,0.08,72.72
73.48,0.891,0.898,87.61,97.59,13.4,0.94,0.664,0.08,72.5
72.83,0.894,0.897,88.04,97.37,13.25,0.94,0.675,0.06,72.45
72.83,0.894,0.897,88.04,97.37,13.25,0.94,0.675,0.06,72.45
73.48,0.889,0.896,86.96,97.45,13.29,0.94,0.66,0.08,72.39
73.26,0.873,0.884,84.57,97.88,12.06,0.94,0.633,0.07,72.23
72.17,0.886,0.893,85.22,97.18,12.68,0.94,0.614,0.09,71.63
70.43,0.888,0.893,86.74,97.29,12.87,0.94,0.623,0.07,71.58
72.17,0.888,0.893,87.39,97.86,12.9,0.94,0.65,0.09,70.54
73.26,0.869,0.879,84.57,96.35,11.95,0.94,0.625,0.11,70.44
69.78,0.87,0.88,84.78,83.86,12.06,0.92,0.581,0.16,70.38
69.78,0.866,0.877,83.04,92.49,12.68,0.93,0.552,0.12,68.8
75.65,0.906,0.906,90.65,94.24,13.21,0.94,0.57,0.11,68.59
71.3,0.875,0.884,85.65,95.43,12.79,0.94,0.619,0.11,67.77
70.22,0.891,0.892,87.17,96.12,12.68,0.94,0.599,0.08,67.66
72.83,0.892,0.892,86.96,95.51,12.52,0.94,0.581,0.1,67.39
64.57,0.868,0.868,82.17,95.84,11.87,0.93,0.567,0.1,67.12
69.35,0.882,0.888,89.78,96.46,13.1,0.93,0.628,0.15,66.63
63.26,0.858,0.865,81.96,97.92,11.53,0.93,0.64,0.1,66.25
70.87,0.863,0.873,85.43,95.51,12.64,0.93,0.618,0.11,66.14
68.48,0.871,0.879,86.52,96.49,12.75,0.94,0.621,0.11,65.33
68.26,0.86,0.87,84.35,95.93,12.48,0.93,0.62,0.12,63.8
68.04,0.849,0.849,78.04,95.01,11.6,0.92,0.555,0.11,63.42
60.22,0.859,0.86,84.78,93.31,11.53,0.93,0.538,0.13,63.04
61.09,0.855,0.862,82.17,93.72,11.53,0.92,0.534,0.11,62.28
66.96,0.801,0.823,76.3,93.52,10.46,0.91,0.551,0.12,61.63
58.91,0.836,0.846,81.3,94.32,11.53,0.89,0.544,0.25,60.05
63.91,0.698,0.685,69.35,84.42,9.46,0.75,0.654,0.2,59.46
59.13,0.842,0.849,81.52,95.02,11.45,0.9,0.547,0.21,59.4
48.26,0.756,0.773,62.83,96.18,8.81,0.9,0.614,0.14,58.37
53.26,0.679,0.67,63.7,85.41,9.57,0.74,0.649,0.19,57.5
47.17,0.756,0.782,65.43,95.87,8.62,0.9,0.573,0.13,56.96
49.78,0.668,0.658,61.3,85.19,9.12,0.74,0.646,0.25,56.2
49.78,0.668,0.658,61.3,85.19,9.12,0.74,0.646,0.25,56.2
49.78,0.668,0.658,61.3,85.19,9.12,0.74,0.646,0.25,56.2
48.04,0.684,0.676,59.57,96.89,8.69,0.81,0.615,0.12,56.14
50.22,0.667,0.657,61.09,84.84,9.23,0.74,0.461,0.25,56.03
48.48,0.656,0.65,60.43,85.44,9.0,0.73,0.658,0.3,55.87
48.04,0.749,0.778,65.65,96.29,9.0,0.9,0.537,0.16,55.87
49.13,0.691,0.68,61.52,97.34,9.19,0.86,0.665,0.11,55.81
49.13,0.799,0.809,72.17,92.56,9.96,0.91,0.536,0.12,55.76
48.26,0.681,0.673,60.0,97.63,9.04,0.86,0.667,0.11,55.6
49.78,0.665,0.657,61.3,86.17,8.96,0.73,0.67,0.29,55.54
49.78,0.665,0.657,61.3,86.17,8.96,0.73,0.67,0.29,55.54
48.91,0.668,0.658,60.0,86.15,9.04,0.73,0.661,0.24,55.27
49.57,0.684,0.674,60.87,97.1,9.12,0.86,0.652,0.12,55.27
48.91,0.668,0.658,60.0,86.15,9.04,0.73,0.661,0.24,55.27
48.7,0.654,0.647,59.57,85.56,8.92,0.73,0.654,0.26,55.27
49.78,0.667,0.656,61.09,85.97,9.04,0.74,0.636,0.23,55.22
49.13,0.656,0.649,60.43,84.85,9.0,0.73,0.646,0.31,55.16
49.13,0.656,0.649,60.43,84.85,9.0,0.73,0.646,0.31,55.16
48.91,0.659,0.651,60.22,96.78,9.08,0.74,0.606,0.24,54.67
42.17,0.703,0.726,59.35,95.61,8.69,0.89,0.556,0.13,53.26
46.74,0.704,0.732,58.7,96.15,7.55,0.89,0.559,0.13,53.21
48.04,0.658,0.649,61.52,88.7,9.23,0.74,0.582,0.25,53.15
47.61,0.647,0.641,59.35,84.73,8.5,0.75,0.5,0.26,53.15
46.96,0.646,0.639,58.26,84.84,8.23,0.75,0.496,0.27,52.99
44.13,0.7,0.726,58.26,96.41,8.85,0.89,0.566,0.14,52.88
45.65,0.694,0.719,57.17,95.61,6.9,0.89,0.551,0.14,52.77
47.17,0.646,0.639,58.04,84.61,8.2,0.75,0.49,0.27,52.66
46.96,0.647,0.639,58.48,84.87,8.27,0.75,0.503,0.27,52.61
47.39,0.646,0.64,57.39,84.85,8.27,0.75,0.497,0.25,52.61
42.83,0.691,0.717,57.83,95.68,6.78,0.88,0.561,0.15,51.79
41.09,0.615,0.61,54.57,84.52,7.74,0.7,0.529,0.5,46.79
39.57,0.642,0.639,58.04,91.33,7.66,0.84,0.41,0.23,43.59
37.61,0.631,0.629,59.35,73.48,7.78,0.75,0.305,0.4,42.06
37.61,0.631,0.629,59.35,73.48,7.78,0.75,0.305,0.4,42.06
41.3,0.644,0.637,62.83,74.92,7.97,0.75,0.265,0.47,41.36
41.3,0.644,0.637,62.83,74.92,7.97,0.75,0.265,0.47,41.36
36.3,0.624,0.625,57.83,71.02,7.55,0.75,0.29,0.52,40.38
36.3,0.624,0.625,57.83,71.02,7.55,0.75,0.29,0.52,40.38
35.0,0.619,0.612,58.7,69.61,7.01,0.75,0.315,0.49,39.13
35.0,0.619,0.612,58.7,69.61,7.01,0.75,0.315,0.49,39.13
31.3,0.569,0.592,42.39,96.53,4.98,0.7,0.336,0.9,37.77
28.48,0.514,0.526,38.48,77.87,3.76,0.72,0.366,0.34,33.53
30.43,0.514,0.525,40.43,76.76,4.25,0.74,0.346,0.35,33.48
29.78,0.509,0.518,38.91,76.8,3.95,0.74,0.348,0.36,33.37
29.13,0.516,0.523,39.13,77.04,4.1,0.71,0.347,0.37,33.26
23.26,0.575,0.574,47.17,78.32,5.33,0.73,0.242,0.63,32.77
23.26,0.575,0.574,47.17,78.32,5.33,0.73,0.242,0.63,32.77
29.35,0.502,0.514,39.13,77.4,4.06,0.71,0.359,0.33,32.66
15.0,0.457,0.479,27.61,86.63,2.91,0.66,0.305,0.89,30.65
14.78,0.501,0.568,31.74,55.31,4.02,0.75,0.181,0.9,24.84
12.17,0.478,0.493,32.61,59.44,3.37,0.73,0.167,0.81,23.75
12.17,0.377,0.421,21.96,44.57,1.96,0.64,0.139,1.07,18.37
11.52,0.389,0.418,23.26,59.79,1.38,0.7,0.171,0.98,18.1
9.78,0.362,0.4,23.26,65.27,1.5,0.68,0.163,0.91,17.88
3.26,0.372,0.53,30.43,22.84,4.14,0.65,0.066,1.74,12.83
3.7,0.36,0.548,32.83,22.1,4.41,0.65,0.055,1.78,12.12
2.83,0.36,0.551,32.61,22.03,4.45,0.65,0.054,1.79,12.06
98.8,0.971,0.971,100.0,98.83,10.18,0.98,0.75,0.02,95.96
99.4,0.971,0.971,100.0,98.77,10.18,0.98,0.744,0.02,95.66
99.4,0.969,0.969,100.0,98.6,10.18,0.98,0.745,0.01,95.51
98.8,0.966,0.966,100.0,98.75,10.18,0.98,0.748,0.02,95.36
99.4,0.969,0.969,100.0,98.76,10.18,0.98,0.76,0.01,95.06
95.81,0.947,0.945,96.41,98.87,9.62,0.98,0.711,0.02,94.61
95.81,0.947,0.946,96.41,98.85,9.86,0.98,0.741,0.02,94.01
99.4,0.959,0.959,100.0,98.75,10.18,0.98,0.767,0.02,93.71
98.8,0.954,0.954,100.0,98.61,10.18,0.98,0.761,0.01,93.56
96.41,0.951,0.951,97.01,98.46,9.78,0.97,0.691,0.03,93.56
98.8,0.954,0.954,100.0,98.61,10.18,0.98,0.761,0.01,93.56
98.2,0.953,0.953,99.4,98.61,10.18,0.98,0.751,0.01,93.41
98.2,0.948,0.948,98.8,98.49,10.18,0.98,0.76,0.01,93.41
98.2,0.948,0.948,98.8,98.49,10.18,0.98,0.76,0.01,93.41
98.2,0.952,0.952,99.4,98.58,10.18,0.98,0.749,0.01,93.26
98.2,0.952,0.952,99.4,98.58,10.18,0.98,0.749,0.01,93.26
98.2,0.949,0.949,99.4,98.51,10.18,0.98,0.754,0.01,93.26
97.6,0.949,0.949,98.8,98.61,10.1,0.98,0.741,0.01,93.11
97.6,0.95,0.95,98.8,98.58,10.1,0.98,0.743,0.01,93.11
97.6,0.949,0.949,98.8,98.61,10.1,0.98,0.741,0.01,93.11
98.2,0.947,0.947,99.4,98.56,10.18,0.98,0.764,0.01,92.96
98.8,0.948,0.948,100.0,98.5,10.18,0.98,0.751,0.01,92.96
98.2,0.947,0.947,99.4,98.56,10.18,0.98,0.764,0.01,92.96
97.6,0.947,0.947,98.8,98.48,10.1,0.98,0.755,0.01,92.96
97.6,0.945,0.945,98.8,98.45,10.02,0.98,0.746,0.01,92.81
97.6,0.945,0.945,98.8,98.45,10.02,0.98,0.746,0.01,92.81
98.2,0.947,0.947,98.8,98.6,10.02,0.98,0.743,0.01,92.81
98.2,0.947,0.947,98.8,98.6,10.02,0.98,0.743,0.01,92.81
97.6,0.945,0.945,98.8,98.45,10.02,0.98,0.746,0.01,92.81
98.2,0.947,0.947,98.8,98.6,10.02,0.98,0.743,0.01,92.81
97.6,0.945,0.945,98.8,98.52,10.1,0.98,0.755,0.01,92.67
97.01,0.943,0.943,97.6,98.61,9.86,0.98,0.752,0.01,92.52
97.01,0.943,0.943,97.6,98.61,9.86,0.98,0.752,0.01,92.52
97.01,0.943,0.943,97.6,98.61,9.86,0.98,0.743,0.01,92.52
95.81,0.942,0.942,96.41,98.67,9.78,0.98,0.747,0.02,92.36
97.6,0.943,0.943,97.6,98.58,9.86,0.98,0.772,0.01,92.36
97.6,0.943,0.943,97.6,98.58,9.86,0.98,0.772,0.01,92.36
94.01,0.94,0.941,95.81,97.52,9.78,0.97,0.729,0.05,92.22
96.41,0.942,0.942,97.01,98.6,9.94,0.98,0.753,0.01,92.22
94.61,0.937,0.937,97.01,98.36,9.78,0.98,0.742,0.01,92.22
95.81,0.938,0.938,97.01,98.43,9.86,0.98,0.744,0.01,92.07
94.61,0.939,0.939,97.01,98.37,9.78,0.97,0.71,0.02,92.07
97.6,0.945,0.945,98.8,98.4,10.02,0.97,0.732,0.02,92.07
94.01,0.934,0.935,95.81,98.7,9.78,0.97,0.754,0.02,91.92
93.41,0.931,0.931,95.81,98.56,9.78,0.97,0.761,0.02,91.92
94.01,0.929,0.929,95.21,98.61,9.7,0.97,0.73,0.02,91.92
97.6,0.941,0.941,98.2,98.51,9.94,0.98,0.743,0.01,91.92
97.6,0.941,0.941,98.2,98.51,9.94,0.98,0.743,0.01,91.92
97.6,0.941,0.941,97.6,98.55,9.94,0.98,0.742,0.01,91.92
97.6,0.941,0.941,98.2,98.51,9.94,0.98,0.743,0.01,91.92
97.6,0.94,0.94,98.2,98.5,9.94,0.98,0.766,0.01,91.92
94.01,0.929,0.929,95.21,98.61,9.7,0.97,0.73,0.02,91.92
97.01,0.946,0.946,99.4,98.21,10.18,0.97,0.702,0.02,91.77
96.41,0.941,0.941,97.6,98.72,9.94,0.97,0.734,0.01,91.77
97.01,0.946,0.946,99.4,98.21,10.18,0.97,0.702,0.02,91.77
96.41,0.938,0.938,97.6,98.47,9.94,0.98,0.757,0.01,91.77
97.01,0.937,0.937,98.8,98.42,10.02,0.98,0.72,0.01,91.77
96.41,0.935,0.935,98.8,98.39,10.02,0.97,0.735,0.01,91.62
97.6,0.94,0.94,97.6,98.46,9.94,0.98,0.77,0.01,91.62
96.41,0.938,0.938,97.01,98.45,9.86,0.98,0.738,0.01,91.62
98.2,0.944,0.944,98.8,98.48,10.18,0.98,0.753,0.01,91.62
93.41,0.928,0.927,96.41,97.37,9.62,0.97,0.706,0.05,91.47
97.01,0.94,0.94,97.6,98.46,9.94,0.98,0.736,0.01,91.47
93.41,0.928,0.927,96.41,97.38,9.62,0.97,0.707,0.05,91.47
95.21,0.93,0.93,97.01,98.38,9.94,0.98,0.735,0.01,91.32
97.01,0.938,0.938,97.6,98.47,9.94,0.98,0.749,0.01,91.32
97.01,0.938,0.938,97.6,98.47,9.94,0.98,0.749,0.01,91.32
96.41,0.937,0.937,97.01,98.44,9.86,0.98,0.735,0.01,91.32
97.01,0.935,0.935,98.8,98.38,10.02,0.98,0.737,0.01,91.32
97.01,0.938,0.938,97.6,98.47,9.94,0.98,0.749,0.01,91.32
96.41,0.935,0.935,98.8,98.42,9.94,0.97,0.73,0.01,91.17
96.41,0.935,0.935,99.4,98.41,10.02,0.97,0.748,0.01,91.17
96.41,0.936,0.936,98.8,98.37,10.02,0.97,0.73,0.01,91.17
97.01,0.939,0.939,99.4,98.36,10.1,0.98,0.728,0.02,91.17
94.61,0.929,0.929,96.41,98.22,9.86,0.97,0.71,0.02,91.17
97.01,0.939,0.939,98.8,98.34,10.1,0.97,0.725,0.02,91.17
94.01,0.938,0.937,95.81,98.38,9.7,0.97,0.699,0.03,91.17
95.81,0.934,0.932,95.81,98.34,9.62,0.97,0.705,0.03,91.17
95.21,0.931,0.929,95.81,98.63,9.62,0.97,0.72,0.02,91.02
94.61,0.928,0.928,96.41,98.23,9.86,0.97,0.711,0.02,91.02
95.81,0.934,0.934,99.4,98.39,10.02,0.97,0.74,0.01,91.02
95.81,0.934,0.934,99.4,98.39,10.02,0.97,0.74,0.01,91.02
97.6,0.945,0.945,99.4,98.2,10.18,0.97,0.693,0.02,91.02
97.6,0.945,0.945,99.4,98.2,10.18,0.97,0.693,0.02,91.02
95.81,0.934,0.934,99.4,98.39,10.02,0.97,0.74,0.01,91.02
95.81,0.934,0.934,99.4,98.39,10.02,0.97,0.74,0.01,91.02
95.81,0.934,0.934,99.4,98.39,10.02,0.97,0.74,0.01,91.02
94.01,0.919,0.917,95.21,98.54,9.62,0.97,0.708,0.02,90.72
95.81,0.928,0.929,97.01,98.28,9.78,0.97,0.73,0.03,90.72
94.61,0.928,0.928,97.6,98.27,9.86,0.97,0.734,0.01,90.72
94.61,0.928,0.928,97.6,98.27,9.86,0.97,0.734,0.01,90.72
94.01,0.924,0.922,95.21,98.48,9.54,0.97,0.72,0.02,90.72
94.61,0.928,0.928,97.6,98.27,9.86,0.97,0.734,0.01,90.72
94.61,0.928,0.928,97.6,98.27,9.86,0.97,0.734,0.01,90.72
94.01,0.925,0.925,97.01,98.28,9.78,0.97,0.746,0.02,90.72
96.41,0.934,0.934,97.6,98.18,9.94,0.97,0.706,0.02,90.72
94.61,0.928,0.928,97.6,98.27,9.86,0.97,0.734,0.01,90.72
96.41,0.934,0.934,99.4,98.38,9.94,0.97,0.73,0.02,90.57
94.61,0.928,0.928,97.01,98.29,9.94,0.97,0.738,0.01,90.57
96.41,0.932,0.932,97.6,98.16,9.94,0.97,0.707,0.02,90.57
94.61,0.928,0.928,97.01,98.29,9.94,0.97,0.738,0.01,90.57
94.61,0.919,0.919,95.21,98.34,8.81,0.97,0.718,0.03,90.57
94.61,0.928,0.928,97.01,98.29,9.94,0.97,0.738,0.01,90.57
94.61,0.926,0.923,95.81,98.39,9.62,0.97,0.723,0.02,90.57
94.61,0.928,0.928,97.01,98.29,9.94,0.97,0.738,0.01,90.57
94.01,0.926,0.922,95.21,98.3,9.62,0.97,0.713,0.02,90.57
94.61,0.928,0.928,97.01,98.29,9.94,0.97,0.738,0.01,90.57
95.81,0.933,0.933,98.2,98.25,10.02,0.97,0.725,0.02,90.42
93.41,0.932,0.939,97.01,97.93,9.86,0.97,0.698,0.04,90.42
94.61,0.93,0.928,95.21,98.61,9.54,0.97,0.714,0.02,90.42
93.41,0.932,0.939,97.01,97.93,9.86,0.97,0.698,0.04,90.42
92.81,0.923,0.923,95.21,98.31,9.78,0.97,0.75,0.01,90.42
95.21,0.926,0.926,97.6,98.16,9.86,0.97,0.68,0.02,90.42
97.6,0.937,0.937,99.4,98.28,10.1,0.97,0.731,0.02,90.42
97.01,0.935,0.935,98.8,98.22,10.02,0.97,0.709,0.02,90.42
96.41,0.932,0.932,98.8,98.06,10.1,0.97,0.684,0.02,90.27
97.6,0.937,0.937,99.4,98.28,10.1,0.97,0.731,0.02,90.27
95.21,0.919,0.919,96.41,98.54,9.78,0.97,0.697,0.02,90.27
95.21,0.919,0.919,96.41,98.54,9.78,0.97,0.697,0.02,90.27
95.81,0.933,0.933,98.8,98.24,10.02,0.97,0.723,0.02,90.27
94.61,0.927,0.927,97.01,98.21,9.94,0.97,0.639,0.02,90.27
94.01,0.929,0.93,97.01,98.35,9.86,0.98,0.751,0.01,90.27
95.81,0.932,0.932,98.2,98.22,10.02,0.97,0.721,0.02,90.12
97.01,0.936,0.936,99.4,98.25,10.1,0.97,0.723,0.02,90.12
92.81,0.924,0.924,95.81,98.34,9.78,0.97,0.747,0.01,90.12
94.01,0.926,0.926,97.01,98.0,9.86,0.97,0.665,0.02,90.12
92.22,0.924,0.922,95.21,98.28,9.54,0.97,0.707,0.02,90.12
97.01,0.936,0.936,99.4,98.25,10.1,0.97,0.723,0.02,90.12
95.81,0.932,0.932,98.2,98.22,10.02,0.97,0.721,0.02,90.12
97.01,0.936,0.936,99.4,98.24,10.1,0.97,0.721,0.02,90.12
94.61,0.939,0.939,97.01,98.39,9.7,0.97,0.698,0.03,90.12
97.01,0.936,0.936,99.4,98.24,10.1,0.97,0.721,0.02,90.12
92.81,0.922,0.922,95.81,98.29,9.78,0.97,0.752,0.01,89.97
95.81,0.933,0.933,98.8,98.28,9.94,0.97,0.727,0.02,89.97
97.01,0.939,0.939,100.0,98.04,10.18,0.97,0.677,0.02,89.97
92.22,0.922,0.922,95.81,98.32,9.78,0.97,0.742,0.01,89.97
95.81,0.933,0.933,98.8,98.28,9.94,0.97,0.727,0.02,89.97
95.21,0.934,0.934,96.41,98.07,9.78,0.97,0.63,0.04,89.82
97.01,0.937,0.937,99.4,98.04,10.1,0.97,0.688,0.02,89.82
97.01,0.937,0.937,99.4,98.04,10.1,0.97,0.688,0.02,89.82
95.81,0.936,0.936,98.8,96.73,10.02,0.97,0.618,0.05,89.67
95.81,0.936,0.936,98.8,96.73,10.02,0.97,0.631,0.05,89.67
95.21,0.931,0.932,98.8,98.23,10.02,0.97,0.72,0.02,89.67
95.81,0.936,0.936,98.8,96.73,10.02,0.97,0.63,0.05,89.67
95.81,0.936,0.936,98.8,96.73,10.02,0.97,0.65,0.05,89.67
95.81,0.936,0.936,98.8,96.73,10.02,0.97,0.63,0.05,89.67
95.81,0.936,0.936,98.8,96.73,10.02,0.97,0.65,0.05,89.67
92.81,0.923,0.923,95.21,98.14,9.62,0.97,0.736,0.02,89.67
92.81,0.923,0.923,95.21,98.14,9.62,0.97,0.736,0.02,89.67
95.81,0.936,0.936,98.8,96.73,10.02,0.97,0.65,0.05,89.67
93.41,0.913,0.911,94.61,98.36,9.54,0.97,0.71,0.02,89.52
91.62,0.914,0.914,95.81,98.15,9.78,0.97,0.73,0.02,89.52
93.41,0.923,0.923,96.41,98.12,9.86,0.97,0.701,0.03,89.52
95.81,0.925,0.925,99.4,98.26,9.94,0.97,0.738,0.02,89.52
94.01,0.916,0.916,95.21,98.07,9.62,0.97,0.691,0.02,89.52
92.81,0.919,0.919,95.21,98.27,9.78,0.97,0.747,0.01,89.52
94.01,0.92,0.92,95.21,97.99,9.54,0.96,0.703,0.02,89.52
94.01,0.916,0.916,95.21,98.08,9.62,0.97,0.694,0.02,89.37
94.01,0.924,0.924,97.6,98.25,9.86,0.97,0.72,0.01,89.37
90.42,0.919,0.918,93.41,96.74,9.38,0.96,0.687,0.04,89.22
94.01,0.923,0.922,95.81,97.63,9.54,0.97,0.702,0.05,89.07
92.81,0.904,0.903,94.01,98.33,9.46,0.96,0.719,0.05,89.07
94.01,0.923,0.922,95.81,97.62,9.54,0.97,0.702,0.05,89.07
97.6,0.933,0.933,98.8,96.28,10.02,0.97,0.675,0.05,88.77
97.6,0.933,0.933,98.8,96.28,10.02,0.97,0.675,0.05,88.77
92.22,0.925,0.925,97.6,96.09,9.94,0.96,0.707,0.05,88.62
92.22,0.905,0.911,96.41,97.54,9.54,0.97,0.66,0.05,88.62
92.81,0.918,0.915,95.81,97.27,9.62,0.97,0.703,0.05,88.62
91.62,0.908,0.906,94.01,97.19,9.46,0.96,0.694,0.05,88.62
93.41,0.918,0.916,95.21,98.46,9.54,0.97,0.694,0.02,88.47
92.81,0.903,0.904,94.61,97.98,9.54,0.97,0.66,0.03,88.47
93.41,0.917,0.915,95.21,98.46,9.54,0.97,0.694,0.02,88.47
93.41,0.917,0.918,95.21,97.2,9.78,0.96,0.692,0.04,88.17
93.41,0.917,0.918,95.21,97.2,9.78,0.96,0.692,0.04,88.17
91.02,0.909,0.909,94.01,97.99,9.54,0.97,0.715,0.03,88.17
93.41,0.916,0.918,95.21,97.2,9.78,0.96,0.694,0.04,88.02
91.62,0.897,0.895,92.81,98.17,9.3,0.96,0.721,0.02,88.02
93.41,0.916,0.918,95.21,97.19,9.78,0.96,0.694,0.04,87.87
96.41,0.929,0.929,98.8,98.12,10.02,0.97,0.634,0.02,87.87
89.82,0.908,0.908,94.01,97.84,9.54,0.96,0.703,0.03,87.87
96.41,0.928,0.928,98.8,97.88,10.1,0.97,0.695,0.02,87.72
94.01,0.918,0.918,97.01,96.07,9.86,0.96,0.629,0.05,87.72
89.82,0.889,0.886,92.81,98.09,9.54,0.97,0.755,0.02,87.72
89.82,0.889,0.886,92.81,98.09,9.54,0.97,0.755,0.02,87.72
96.41,0.928,0.928,98.8,97.88,10.1,0.97,0.695,0.02,87.72
96.41,0.928,0.928,98.8,97.88,10.1,0.97,0.695,0.02,87.72
96.41,0.928,0.928,98.8,97.88,10.1,0.97,0.695,0.02,87.72
96.41,0.928,0.928,98.8,97.88,10.1,0.97,0.695,0.02,87.72
96.41,0.928,0.928,98.8,97.88,10.1,0.97,0.695,0.02,87.72
96.41,0.928,0.928,98.8,97.88,10.1,0.97,0.695,0.02,87.72
96.41,0.928,0.928,98.8,97.88,10.1,0.97,0.695,0.02,87.72
92.22,0.918,0.918,97.01,96.24,9.86,0.96,0.71,0.05,87.58
93.41,0.902,0.903,95.21,97.76,9.62,0.96,0.67,0.04,87.58
92.22,0.918,0.918,97.01,96.24,9.86,0.96,0.71,0.05,87.58
92.22,0.918,0.918,97.01,96.24,9.86,0.96,0.71,0.05,87.58
92.22,0.918,0.918,97.01,96.24,9.86,0.96,0.71,0.05,87.58
91.02,0.897,0.894,93.41,98.03,9.38,0.96,0.706,0.03,87.58
91.02,0.897,0.894,93.41,98.03,9.38,0.96,0.706,0.03,87.58
92.22,0.918,0.918,97.01,96.24,9.86,0.96,0.71,0.05,87.58
93.41,0.92,0.92,97.01,96.96,9.94,0.97,0.472,0.03,87.58
92.22,0.918,0.918,97.01,96.24,9.86,0.96,0.71,0.05,87.58
92.22,0.918,0.918,97.01,96.24,9.86,0.96,0.71,0.05,87.58
90.42,0.885,0.885,92.81,97.89,8.89,0.97,0.713,0.03,87.42
89.22,0.894,0.894,93.41,96.51,9.54,0.96,0.711,0.04,87.42
89.22,0.894,0.894,93.41,96.51,9.54,0.96,0.711,0.04,87.42
91.62,0.915,0.915,96.41,96.73,9.94,0.96,0.711,0.04,87.42
96.41,0.926,0.927,98.2,97.76,10.1,0.97,0.658,0.02,87.42
91.62,0.915,0.915,96.41,96.73,9.94,0.96,0.711,0.04,87.42
91.02,0.894,0.894,92.81,98.09,8.89,0.96,0.692,0.03,87.42
91.02,0.894,0.894,92.81,98.09,8.89,0.96,0.692,0.03,87.42
90.42,0.912,0.912,94.61,96.37,9.62,0.96,0.688,0.05,87.28
93.41,0.914,0.914,95.81,96.42,9.86,0.97,0.707,0.04,86.98
92.81,0.91,0.908,95.21,97.12,9.54,0.96,0.668,0.05,86.98
92.81,0.91,0.91,95.81,97.03,9.54,0.96,0.67,0.03,86.98
94.01,0.92,0.92,97.6,97.51,9.86,0.96,0.63,0.03,86.83
91.62,0.913,0.913,97.01,97.41,9.86,0.96,0.632,0.03,86.83
95.21,0.913,0.913,97.6,97.96,9.94,0.97,0.627,0.02,86.68
91.62,0.903,0.902,93.41,96.63,9.3,0.96,0.671,0.05,86.68
90.42,0.909,0.909,95.21,96.62,9.7,0.97,0.722,0.03,86.68
95.81,0.923,0.923,98.2,95.92,10.02,0.96,0.677,0.05,86.53
91.02,0.915,0.915,97.6,97.1,9.86,0.96,0.63,0.04,86.53
89.82,0.911,0.911,97.6,96.98,9.86,0.96,0.628,0.04,86.53
90.42,0.899,0.897,92.81,96.93,9.3,0.96,0.675,0.05,86.38
88.02,0.892,0.892,91.02,96.51,8.97,0.95,0.672,0.06,85.93
94.61,0.909,0.909,97.01,95.7,9.94,0.96,0.707,0.05,85.93
89.82,0.901,0.901,94.01,95.91,9.54,0.96,0.713,0.04,85.78
89.82,0.901,0.901,94.01,95.91,9.54,0.96,0.713,0.04,85.78
83.83,0.864,0.866,87.43,97.53,8.01,0.96,0.682,0.03,85.78
91.62,0.914,0.915,97.01,95.55,9.86,0.96,0.687,0.05,85.78
85.03,0.883,0.893,93.41,97.48,9.3,0.96,0.65,0.05,85.63
88.02,0.893,0.892,91.02,96.45,9.14,0.95,0.688,0.05,85.63
92.22,0.915,0.915,97.01,95.56,9.94,0.96,0.682,0.05,85.63
92.81,0.911,0.911,97.6,96.09,9.94,0.96,0.682,0.04,85.18
83.83,0.87,0.886,92.22,97.03,9.14,0.96,0.63,0.06,85.18
91.62,0.907,0.907,96.41,95.94,9.86,0.96,0.673,0.05,85.03
91.62,0.907,0.907,96.41,95.94,9.86,0.96,0.673,0.05,85.03
91.62,0.907,0.907,96.41,95.94,9.86,0.96,0.673,0.05,85.03
