GDT_TS,GDT_HA,GDC_SC,rmsd
95.36,86.99,71.19,1.2
80.77,63.89,40.19,2.13
71.14,53.86,35.5,6.21
87.73,75.0,59.2,9.92
81.34,63.03,30.76,2.34
63.18,48.86,32.54,10.3
90.3,82.59,63.88,9.8
80.34,64.75,40.73,2.51
92.96,81.29,62.04,1.24
96.27,91.63,77.83,1.29
76.71,56.62,32.69,2.55
94.59,80.18,60.81,1.5
58.38,49.12,35.47,9.46
27.93,18.47,0.0,11.84
86.25,71.25,43.79,1.61
34.09,26.59,10.26,16.78
70.23,53.18,32.68,5.59
88.33,71.67,43.3,1.29
82.05,72.27,46.39,5.58
82.36,75.23,61.81,9.25
82.04,67.25,36.86,2.5
95.27,84.01,60.31,1.31
70.83,54.16,22.8,3.44
78.42,62.39,39.06,2.73
37.05,23.41,6.92,12.48
94.82,83.33,62.77,1.31
78.86,61.59,50.91,4.46
61.67,47.08,24.81,9.37
48.33,32.5,17.73,10.31
90.54,82.36,64.23,9.78
96.04,91.29,76.52,1.19
81.69,67.25,37.33,2.02
74.66,56.34,40.87,5.14
66.9,48.95,28.56,5.76
78.53,60.54,39.67,3.32
36.97,21.37,6.01,8.21
10.81,6.47,1.42,25.07
93.69,85.05,67.92,1.48
34.71,24.56,9.67,45.35
95.36,88.8,72.78,1.35
73.94,55.63,29.85,3.4
55.45,41.37,28.67,10.66
51.14,36.36,25.18,12.21
93.69,80.18,57.6,1.49
73.94,53.52,30.94,3.7
83.68,66.47,50.34,1.75
40.0,30.0,16.01,12.59
63.77,53.29,40.22,16.56
95.47,89.37,71.49,1.27
44.77,29.55,20.75,12.58
77.7,62.61,27.91,3.07
96.15,91.75,77.27,1.28
91.0,82.59,66.64,9.68
89.6,79.44,39.97,9.78
39.56,29.41,18.7,45.1
78.75,65.0,30.72,2.78
48.33,32.5,17.73,10.31
87.72,70.95,56.23,1.44
65.14,51.76,27.21,7.03
82.75,67.61,37.48,2.08
80.83,62.5,30.72,1.89
77.23,60.65,40.4,3.56
75.0,55.99,28.18,3.53
51.25,38.34,12.35,8.67
28.17,19.37,6.66,11.26
63.38,44.72,19.47,4.43
93.41,82.48,63.52,1.16
14.49,10.05,5.25,19.35
74.17,59.16,30.87,2.92
22.27,16.59,5.71,20.88
74.3,54.23,21.0,3.12
91.89,76.13,54.2,1.63
60.0,46.37,24.43,12.31
91.17,79.04,58.5,1.41
69.23,48.72,25.65,3.01
84.58,67.5,36.33,1.71
93.41,81.29,62.29,1.23
73.7,54.95,35.15,3.35
67.66,46.58,32.86,2.93
94.59,83.11,60.43,1.31
96.04,88.35,75.77,1.47
96.58,88.46,65.07,1.28
69.58,54.17,23.71,3.76
91.67,76.8,55.9,1.64
80.83,62.92,29.09,2.31
10.23,7.73,1.61,59.62
95.05,82.21,57.27,1.41
78.63,62.39,37.76,2.32
73.94,54.93,29.21,3.56
27.65,18.38,7.04,38.3
65.49,52.47,27.01,7.08
70.83,53.33,28.07,3.79
61.36,46.59,29.93,7.78
64.79,51.76,26.51,7.09
